scope,issue_category,scope_written_denominator,issue_rate,n,average_review_score,low_rating_rate,one_star_rate,late_eligible_n,late_count,late_delivery_rate,median_delay_days,average_delay_days,average_delivery_days
all_core_written,Delivery waiting / non-receipt,36346,0.07571672261046608,2752,1.5221656976744187,0.8092296511627907,0.6686046511627907,2752,1546,0.5617732558139535,3.0,1.5803052325581395,27.07989308701416
all_core_written,Generic / Unclear,36346,0.033758873053430914,1227,2.0057049714751427,0.5672371638141809,0.42705786471067647,1227,287,0.2339038304808476,-10.0,-7.5843520782396086,18.535886940067616
all_core_written,Incomplete order / missing units,36346,0.04542453089748528,1651,1.5923682616596002,0.7861901877649909,0.6214415505754088,1651,90,0.054512416717141125,-13.0,-13.053301029678982,13.002921693081635
all_core_written,Mixed / rating-text mismatch,36346,0.027733450723600946,1008,2.3442460317460316,0.3968253968253968,0.25892857142857145,1008,134,0.13293650793650794,-12.0,-10.140873015873016,15.369833312665344
all_core_written,Mixed resolution / service,36346,0.07632201617784626,2774,1.4762076423936554,0.8302090843547224,0.6935832732516222,2773,799,0.288135593220339,-9.0,-6.002163721601154,20.047989203930758
all_core_written,Positive delivery mentions,36346,0.2240961866505255,8145,4.7161448741559235,0.0,0.0,8144,255,0.03131139489194499,-14.0,-13.659381139489195,11.432287054943881
all_core_written,Positive generic mentions,36346,0.1993341770758818,7245,4.80455486542443,0.0,0.0,7243,174,0.02402319480878089,-13.0,-13.534308987988403,11.506851751179937
all_core_written,Positive product / overall mentions,36346,0.24784020249821162,9008,4.8027309058614565,0.0,0.0,9007,181,0.020095481292328188,-13.0,-13.560897080048852,11.435668371616314
all_core_written,Product condition / mismatch,36346,0.06977384031255159,2536,1.7748422712933754,0.7145110410094637,0.5106466876971609,2536,106,0.0417981072555205,-12.0,-12.576892744479496,12.875932265195994
after_delivery_core_written,Delivery waiting / non-receipt,33446,0.03880882616755367,1298,1.845146379044684,0.6679506933744221,0.4869029275808937,1298,96,0.07395993836671803,-11.0,-11.50462249614792,14.80278733664327
after_delivery_core_written,Generic / Unclear,33446,0.029151468038031453,975,2.1723076923076925,0.4882051282051282,0.3394871794871795,975,36,0.036923076923076927,-12.0,-12.735384615384616,13.85348777302944
after_delivery_core_written,Incomplete order / missing units,33446,0.04759911499132931,1592,1.5979899497487438,0.7832914572864321,0.6187185929648241,1592,39,0.024497487437185928,-14.0,-13.935929648241206,12.175618326005026
after_delivery_core_written,Mixed / rating-text mismatch,33446,0.026998744244453747,903,2.4396456256921373,0.34994462901439644,0.21040974529346623,903,30,0.03322259136212625,-13.0,-12.83499446290144,12.816555078749849
after_delivery_core_written,Mixed resolution / service,33446,0.061083537642767444,2043,1.561429270680372,0.797846304454234,0.640724424865394,2043,78,0.0381791483113069,-13.0,-13.133137542829173,13.064578852132849
after_delivery_core_written,Positive delivery mentions,33446,0.23972971356813969,8018,4.719131953105513,0.0,0.0,8018,146,0.018209029683212773,-14.0,-14.06610127213769,11.00938467874366
after_delivery_core_written,Positive generic mentions,33446,0.2145548047599115,7176,4.80448717948718,0.0,0.0,7176,118,0.01644370122630992,-13.0,-13.816332218506131,11.216770520433338
after_delivery_core_written,Positive product / overall mentions,33446,0.2675357292351851,8948,4.8034197586052745,0.0,0.0,8948,132,0.014751899865891819,-13.0,-13.751788109074653,11.242550295741651
after_delivery_core_written,Product condition / mismatch,33446,0.07453806135262812,2493,1.7817890092258324,0.7115924588848777,0.50661853188929,2493,67,0.026875250701965503,-13.0,-12.988768551945448,12.48442408187369
