issue_category,corpus_role,share_all,share_role,core_written_n,top_categories_core,top_months_core,rating_scope,late_scope,n,average_review_score,low_rating_rate,one_star_rate,late_eligible_n,late_count,late_delivery_rate,median_delay_days,average_delay_days,average_delivery_days
Delivery waiting / non-receipt,primary,0.08805340139393344,0.2496,2752,"{""bed_bath_table"": 294, ""health_beauty"": 240, ""sports_leisure"": 232}","{""2018-03"": 451, ""2018-02"": 382, ""2017-11"": 321}",all canonical written in issue; conditioned on rating corpus,core delivered written in issue with valid late dates,3588,1.4676700111482721,0.8322185061315496,0.7001114827201784,2752,1546,0.5617732558139535,3.0,1.5803052325581395,27.07989308701416
Generic / Unclear,primary,0.03543732207715716,0.10045217391304348,1227,"{""bed_bath_table"": 154, ""health_beauty"": 95, ""computers_accessories"": 91}","{""2018-03"": 146, ""2018-02"": 125, ""2017-11"": 119}",all canonical written in issue; conditioned on rating corpus,core delivered written in issue with valid late dates,1444,1.9342105263157894,0.5990304709141274,0.4667590027700831,1227,287,0.2339038304808476,-10.0,-7.5843520782396086,18.535886940067616
Incomplete order / missing units,primary,0.043535879061549036,0.12340869565217391,1651,"{""bed_bath_table"": 224, ""furniture_decor"": 145, ""sports_leisure"": 131}","{""2017-11"": 174, ""2018-03"": 159, ""2018-01"": 149}",all canonical written in issue; conditioned on rating corpus,core delivered written in issue with valid late dates,1774,1.5879368658399098,0.7897406989853438,0.6223224351747464,1651,90,0.054512416717141125,-13.0,-13.053301029678982,13.002921693081635
Mixed / rating-text mismatch,primary,0.02778050456464121,0.07874782608695652,1008,"{""bed_bath_table"": 155, ""health_beauty"": 79, ""furniture_decor"": 73}","{""2018-03"": 92, ""2017-11"": 90, ""2018-02"": 85}",all canonical written in issue; conditioned on rating corpus,core delivered written in issue with valid late dates,1132,2.312720848056537,0.4134275618374558,0.27385159010600707,1008,134,0.13293650793650794,-12.0,-10.140873015873016,15.369833312665344
Mixed resolution / service,primary,0.09036026308039659,0.2561391304347826,2774,"{""computers_accessories"": 237, ""health_beauty"": 231, ""bed_bath_table"": 228}","{""2018-03"": 309, ""2018-02"": 275, ""2017-11"": 272}",all canonical written in issue; conditioned on rating corpus,core delivered written in issue with valid late dates,3682,1.4128191200434546,0.8555133079847909,0.7316675719717545,2773,799,0.288135593220339,-9.0,-6.002163721601154,20.047989203930758
Positive delivery mentions,positive,0.21596151958378326,0.3336745914382133,8145,"{""health_beauty"": 734, ""sports_leisure"": 616, ""bed_bath_table"": 605}","{""2018-04"": 663, ""2018-01"": 659, ""2018-05"": 597}",all canonical written in issue; conditioned on rating corpus,core delivered written in issue with valid late dates,8800,4.715909090909091,0.0,0.0,8144,255,0.03131139489194499,-14.0,-13.659381139489195,11.432287054943881
Positive generic mentions,positive,0.1917394718759203,0.296249952603041,7245,"{""bed_bath_table"": 854, ""health_beauty"": 593, ""sports_leisure"": 541}","{""2018-04"": 557, ""2018-05"": 544, ""2017-11"": 542}",all canonical written in issue; conditioned on rating corpus,core delivered written in issue with valid late dates,7813,4.804428516574939,0.0,0.0,7243,174,0.02402319480878089,-13.0,-13.534308987988403,11.506851751179937
Positive product / overall mentions,positive,0.23952095808383234,0.3700754559587457,9008,"{""bed_bath_table"": 989, ""health_beauty"": 691, ""sports_leisure"": 658}","{""2018-05"": 682, ""2018-01"": 681, ""2018-07"": 673}",all canonical written in issue; conditioned on rating corpus,core delivered written in issue with valid late dates,9760,4.803790983606557,0.0,0.0,9007,181,0.020095481292328188,-13.0,-13.560897080048852,11.435668371616314
Product condition / mismatch,primary,0.0676106802787867,0.19165217391304348,2536,"{""bed_bath_table"": 337, ""computers_accessories"": 222, ""furniture_decor"": 195}","{""2018-01"": 219, ""2018-03"": 209, ""2018-02"": 206}",all canonical written in issue; conditioned on rating corpus,core delivered written in issue with valid late dates,2755,1.773502722323049,0.7143375680580762,0.5121597096188748,2536,106,0.0417981072555205,-12.0,-12.576892744479496,12.875932265195994
