category,merchandise_cents,freight_cents,orders,items,review_n,review_mean,delivery_n,delivery_mean_days,late_n,late_orders,sample_size,aov_proxy_brl,freight_ratio,late_rate,h1_2017_cents,h1_2017_orders,h1_2018_cents,h1_2018_orders,h1_growth,growth_eligible,high_gmv,high_growth,poor_cx_screen,high_late_screen,high_freight_screen,gmv_share,matrix_tags,analysis_window,cohort_definition,denominator
audio,4834421,525898,322,334,319,3.7899686520376177,322,13.974697851966875,322,41.0,322,150.13729813664597,0.10878200305682935,0.12732919254658384,599295,55,2882890,142,3.8104689677037182,True,False,True,True,True,False,0.003916905321124768,Lower GMV + High Growth; High Late Delivery,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
books_general_interest,4373737,836818,462,501,458,4.548034934497816,461,11.838300594520767,461,27.0,462,94.66963203463203,0.19132791935134646,0.05856832971800434,822869,79,2121392,223,1.5780434066661888,True,False,False,False,False,False,0.0035436536719702896,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
small_appliances_home_oven_and_coffee,4359284,226193,55,56,55,4.472727272727273,55,10.90869191919192,55,4.0,55,792.5970909090909,0.05188764943967863,0.07272727272727272,7190,1,3815838,38,529.7146036161336,False,False,False,False,False,False,0.0035319436796865775,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
kitchen_dining_laundry_garden_furniture,4352051,1096290,222,254,220,4.1,222,12.38772767559226,222,11.0,222,196.03833333333333,0.25190191934791206,0.04954954954954955,307656,27,2126141,97,5.910773721299114,False,False,False,False,False,True,0.0035260834171675095,High Freight Burden,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
industry_commerce_and_business,3577452,712721,220,251,218,4.229357798165138,219,11.104434720108237,219,15.0,220,162.61145454545454,0.1992258736106033,0.0684931506849315,115377,7,2242064,173,18.43250387858932,False,False,False,False,False,False,0.002898494106092217,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
construction_tools_safety,3480300,321434,138,158,137,3.978102189781022,138,12.420614851717659,138,4.0,138,252.19565217391303,0.09235813004626038,0.028985507246376812,37900,1,2506715,89,65.14023746701847,False,False,False,False,False,False,0.0028197804016469666,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
construction_tools_lights,3174447,581408,186,239,183,4.2076502732240435,186,10.412186691059338,186,12.0,186,170.66919354838709,0.18315253018872263,0.06451612903225806,0,0,2044138,129,,False,False,False,False,False,False,0.002571974667892713,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
market_place,2593121,493325,261,286,259,4.081081081081081,261,12.114863150986235,261,10.0,261,99.35329501915709,0.19024372561095299,0.038314176245210725,1157816,94,642952,83,-0.44468551134204404,True,False,False,False,False,False,0.002100977437260921,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
fashion_shoes,2250017,469650,231,253,227,4.255506607929515,231,15.867129379108547,231,11.0,231,97.40333333333334,0.2087317562489528,0.047619047619047616,613237,74,700548,59,0.1423772538186705,True,False,False,False,False,False,0.001822990500810994,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
art,2217591,353372,177,179,175,4.097142857142857,177,11.367154085582758,177,8.0,177,125.28762711864407,0.1593494923094475,0.04519774011299435,742205,15,1135137,124,0.5294116854507851,False,False,False,False,False,False,0.001796718570430336,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
costruction_tools_garden,2140752,458193,171,209,171,4.298245614035087,171,12.286740307559022,171,8.0,171,125.19017543859648,0.21403366667414067,0.04678362573099415,395222,16,1075297,90,1.7207417603271074,False,False,False,False,False,False,0.0017344626998783287,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
food,2047707,565025,338,383,334,4.2604790419161676,338,11.097820444334866,338,21.0,338,60.5830473372781,0.27593058967908984,0.0621301775147929,416131,41,875252,177,1.1033088138110356,True,False,False,False,False,True,0.0016590765356191434,High Freight Burden,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
drinks,2010658,503885,263,334,263,4.250950570342205,263,10.804285267920012,263,14.0,263,76.45087452471483,0.2506070152159144,0.053231939163498096,60386,6,1419976,177,22.514986917497435,False,False,False,False,False,True,0.0016290589957229798,High Freight Burden,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
signaling_and_security,1948946,614446,122,175,121,4.0578512396694215,122,11.294343693078325,122,6.0,122,159.74967213114755,0.31527092079513747,0.04918032786885246,84591,8,1145546,70,12.542173517277252,False,False,False,False,False,True,0.0015790592002609687,High Freight Burden,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
books_technical,1721844,382125,228,234,227,4.392070484581498,228,11.171245329759584,228,18.0,228,75.51947368421052,0.22192777046004167,0.07894736842105263,71690,9,946129,159,12.197503138513042,False,False,False,False,False,True,0.0013950584621709105,High Freight Burden,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
furniture_bedroom,1685480,370454,80,91,80,4.225,80,14.245394965277777,80,5.0,80,210.685,0.2197913947362176,0.0625,383114,20,722927,36,0.8869762002954733,False,False,False,False,False,False,0.001365595917411697,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
costruction_tools_tools,1464818,178895,83,89,81,4.419753086419753,83,12.816946117804552,83,5.0,83,176.4840963855422,0.12212780017722338,0.060240963855421686,153290,3,505969,52,2.3007306412681845,False,False,False,False,False,False,0.0011868129438208507,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
food_drink,1391427,408311,205,248,205,4.419512195121952,205,11.197291723125565,205,8.0,205,67.87448780487804,0.2934476620045464,0.03902439024390244,53659,18,584860,87,9.899569503717922,False,False,False,False,False,True,0.0011273506838268062,High Freight Burden,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
fashion_male_clothing,1004574,196637,102,121,101,3.8217821782178216,102,12.81821906771968,102,5.0,102,98.48764705882353,0.1957416775668094,0.049019607843137254,274923,29,171148,16,-0.37746932777541353,False,False,False,True,False,False,0.0008139177878930264,No threshold flag,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
fashion_underwear_beach,914595,184029,116,126,115,4.017391304347826,116,14.050845705619412,116,11.0,116,78.84439655172415,0.2012136519443032,0.09482758620689655,130865,24,213930,34,0.6347380888702097,False,False,False,False,True,False,0.0007410157332541182,High Late Delivery,"[2017-01-01,2018-08-01)",core delivered; H1 growth compares Jan-Jun 2017 vs Jan-Jun 2018,distinct order/category; category orders and CX not additive
