sample,days,sample_size,repurchasers,repurchase_rate,ci_low,ci_high,repurchase_atleast1day,repurchase_atleast1day_rate,analysis_window,cohort_definition,denominator
each_horizon_mature,30,81001,1075,0.013271441093319836,0.012506141005732366,0.014082905031912346,507,0.006259181985407588,"[2017-01-01,2018-08-01)",entire month maturity; strict later timestamp; >=1day sensitivity,new observed users; common90 for comparing 30 vs60 vs90
each_horizon_mature,60,75123,1313,0.01747800274216951,0.016565290401516473,0.018440060652170378,756,0.010063495866778483,"[2017-01-01,2018-08-01)",entire month maturity; strict later timestamp; >=1day sensitivity,new observed users; common90 for comparing 30 vs60 vs90
each_horizon_mature,90,68617,1409,0.020534269933106957,0.019499676304409422,0.02162254544091964,870,0.01267907369893758,"[2017-01-01,2018-08-01)",entire month maturity; strict later timestamp; >=1day sensitivity,new observed users; common90 for comparing 30 vs60 vs90
common90,30,68617,978,0.014253027675357419,0.013392940816990658,0.015167499672460252,428,0.006237521313960098,"[2017-01-01,2018-08-01)",entire month maturity; strict later timestamp; >=1day sensitivity,new observed users; common90 for comparing 30 vs60 vs90
common90,60,68617,1230,0.017925586953670372,0.016959482173546602,0.01894566568593051,686,0.009997522479851933,"[2017-01-01,2018-08-01)",entire month maturity; strict later timestamp; >=1day sensitivity,new observed users; common90 for comparing 30 vs60 vs90
common90,90,68617,1409,0.020534269933106957,0.019499676304409422,0.02162254544091964,870,0.01267907369893758,"[2017-01-01,2018-08-01)",entire month maturity; strict later timestamp; >=1day sensitivity,new observed users; common90 for comparing 30 vs60 vs90
