comparison,start_month,end_month,factor,start_value,end_value,gmv_change_brl,shapley_contribution_brl,contribution_share,sample_size,analysis_window,cohort_definition,denominator
mom_2017-07,2017-06,2017-07,purchase_frequency,1.0191807542262679,1.0184113624408206,59681.15,-342.1292667649783,-0.005732618536421941,7007,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-07,2017-06,2017-07,aov,134.58480701754385,124.38133264462809,59681.15,-35748.82237230362,-0.5989968754339288,7007,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-08,2017-07,2017-08,unique_customers,3802.0,4114.0,73095.18,40794.23132480448,0.5580974193483685,8065,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-08,2017-07,2017-08,purchase_frequency,1.0184113624408206,1.0192027224112785,73095.18,402.1389774433337,0.0055015799597638824,8065,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-08,2017-07,2017-08,aov,124.38133264462809,132.29184354877177,73095.18,31898.809697752295,0.4364010006918691,8065,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-09,2017-08,2017-09,unique_customers,4114.0,4083.0,52699.97,-4395.930050738893,-0.08341427994624842,8343,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-09,2017-08,2017-09,purchase_frequency,1.0192027224112785,1.0164095028165565,52699.97,-1594.9109140480093,-0.03026398144150764,8343,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-09,2017-08,2017-09,aov,132.29184354877177,146.36136626506024,52699.97,58690.81096478687,1.1136782613877554,8343,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-10,2017-09,2017-10,unique_customers,4083.0,4417.0,40847.98,49352.45371301959,1.2081981462246012,8628,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-10,2017-09,2017-10,purchase_frequency,1.0164095028165565,1.0138102784695495,40847.98,-1607.8653107034818,-0.039362174352403266,8628,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-10,2017-09,2017-10,aov,146.36136626506024,144.76276239392587,40847.98,-6896.608402316128,-0.16883597187219854,8628,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-11,2017-10,2017-11,unique_customers,4417.0,7183.0,339517.72,393158.15638083284,1.157990093656475,11767,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-11,2017-10,2017-11,purchase_frequency,1.0138102784695495,1.014757065293053,339517.72,767.5339593295356,0.0022606595005690297,11767,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
mom_2017-11,2017-10,2017-11,aov,144.76276239392587,135.51452462614898,339517.72,-54407.9703401624,-0.16025075315704407,11767,"[2017-01-01,2018-08-01)",specified month pair; symmetric 3-factor Shapley,customers × orders/customer × merchandise/order identity
